onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_orig	duration_orig	trial_type_orig
198.387505458	1.5	GO	RIGHT	0.331175338000321	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	198.375	198.3875	1.5	go
202.138023508	1.5	STOP	RIGHT	0.464283459999933	RIGHT	28	CorrectResponse	UnsuccessfulStop	0.102248545999828	2	100	-1	202.125	202.138	1.5	unsucc_stop
204.760240706	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.00539162500172097	1	0	1	204.75	204.7602	1.5	succ_stop
206.884437565999	1.5	GO	LEFT	0.557845833998726	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	206.875	206.8844	1.5	go
211.016936504	1.5	GO	RIGHT	0.463158384998678	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	211	211.0169	1.5	go
213.257229031	1.5	GO	LEFT	0.490093447000618	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	213.25	213.2572	1.5	go
215.630499497	1.5	GO	RIGHT	0.656729574000565	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	215.625	215.6305	1.5	go
218.136407403999	1.5	GO	LEFT	0.382605284999954	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	218.125	218.1364	1.5	go
221.140309720999	1.5	GO	RIGHT	0.451749047999328	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	221.125	221.1403	1.5	go
223.895255232999	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.0515139319995797	2	50	1	223.875	223.8953	1.5	succ_stop
228.392638231	1.5	GO	LEFT	0.385457518999829	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	228.375	228.3926	1.5	go
233.769690136	1.5	GO	LEFT	0.373298917998909	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	233.75	233.7697	1.5	go
236.026769898999	1.5	GO	LEFT	0.335117230000833	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	236	236.0268	1.5	go
239.51182107	1.5	GO	RIGHT	0.954715470001247	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	239.5	239.5118	1.5	go
242.017766203	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.0516719070001272	1	50	1	242	242.0178	1.5	succ_stop
244.258254320999	1.5	GO	RIGHT	0.621494476999942	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	244.25	244.2583	1.5	go
248.506613972999	1.5	GO	RIGHT	0.448693893999007	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	248.5	248.5066	1.5	go
250.514904665	1.5	GO	RIGHT	0.438926791000995	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	250.5	250.5149	1.5	go
252.50628922	1.5	GO	LEFT	0.413850096998431	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	252.5	252.5063	1.5	go
254.763358483	1.5	GO	RIGHT	0.389929872999346	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	254.75	254.7634	1.5	go
257.136665975	1.5	GO	LEFT	0	n/a	0	IncorrectResponse	UnuccessfulGo	0	0	0	0	257.125	257.1367	1.5	junk
259.393695229999	1.5	GO	RIGHT	0.401052188000904	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	259.375	259.3937	1.5	go
261.766854699999	1.5	GO	LEFT	0.393705215001319	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	261.75	261.7669	1.5	go
265.882532476	1.5	STOP	LEFT	0.490395783999702	LEFT	5	CorrectResponse	UnsuccessfulStop	0.102146683000683	2	100	-1	265.875	265.8825	1.5	unsucc_stop
267.890704721	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.10288864299946	1	100	1	267.875	267.8907	1.5	succ_stop
270.894509505999	1.5	GO	LEFT	0.484716248000041	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	270.875	270.8945	1.5	go
